Time:2017_11_29 15:51:44 | Type:cmd core | Detial:df | Server:192.168.2.110 | Result:success
Time:2017_11_29 16:37:25 | Type:cmd core | Detial:df | Server:192.168.3.110 | Result:failed
Time:2017_11_29 16:40:12 | Type:cmd core | Detial:df | Server:192.168.2.110 | Result:success
Time:2017_11_29 16:40:13 | Type:cmd core | Detial:df | Server:192.168.2.110 | Result:success
Time:2017_11_29 16:40:13 | Type:cmd core | Detial:df | Server:192.168.2.110 | Result:success
Time:2017_11_29 16:40:14 | Type:cmd core | Detial:df | Server:192.168.2.110 | Result:success
Time:2017_11_29 16:40:14 | Type:cmd core | Detial:df | Server:192.168.2.110 | Result:success
Time:2017_11_29 16:40:15 | Type:cmd core | Detial:df | Server:192.168.2.110 | Result:success
Time:2017_11_29 16:40:15 | Type:cmd core | Detial:df | Server:192.168.2.110 | Result:success
Time:2017_11_29 16:40:16 | Type:cmd core | Detial:df | Server:192.168.2.110 | Result:success
Time:2017_11_29 16:40:16 | Type:cmd core | Detial:df | Server:192.168.2.110 | Result:failed
Time:2017_11_29 16:40:19 | Type:cmd core | Detial:df | Server:192.168.2.110 | Result:success
Time:2017_11_29 16:40:19 | Type:cmd core | Detial:df | Server:192.168.2.110 | Result:success
Time:2017_11_29 16:40:20 | Type:cmd core | Detial:df | Server:192.168.2.110 | Result:failed
Time:2017_11_29 16:40:21 | Type:cmd core | Detial:df | Server:192.168.2.110 | Result:failed
Time:2017_11_29 16:40:23 | Type:cmd core | Detial:df | Server:192.168.3.110 | Result:failed
Time:2017_11_29 16:42:12 | Type:cmd core | Detial:df | Server:192.168.2.110 | Result:success
Time:2017_11_29 16:42:13 | Type:cmd core | Detial:df | Server:192.168.2.110 | Result:success
Time:2017_11_29 16:42:13 | Type:cmd core | Detial:df | Server:192.168.2.110 | Result:success
Time:2017_11_29 16:42:14 | Type:cmd core | Detial:df | Server:192.168.2.110 | Result:success
Time:2017_11_29 16:42:14 | Type:cmd core | Detial:df | Server:192.168.2.110 | Result:success
Time:2017_11_29 16:42:15 | Type:cmd core | Detial:df | Server:192.168.2.110 | Result:success
Time:2017_11_29 16:42:15 | Type:cmd core | Detial:df | Server:192.168.2.110 | Result:success
Time:2017_11_29 16:42:16 | Type:cmd core | Detial:df | Server:192.168.2.110 | Result:success
Time:2017_11_29 16:42:16 | Type:cmd core | Detial:df | Server:192.168.2.110 | Result:failed
Time:2017_11_29 16:42:19 | Type:cmd core | Detial:df | Server:192.168.2.110 | Result:success
Time:2017_11_29 16:42:20 | Type:cmd core | Detial:df | Server:192.168.2.110 | Result:success
Time:2017_11_29 16:42:21 | Type:cmd core | Detial:df | Server:192.168.2.110 | Result:failed
Time:2017_11_29 16:42:22 | Type:cmd core | Detial:df | Server:192.168.2.110 | Result:failed
Time:2017_11_29 16:42:24 | Type:cmd core | Detial:df | Server:192.168.3.110 | Result:failed
Time:2017_11_29 16:44:41 | Type:cmd core | Detial:df | Server:192.168.2.110 | Result:success
Time:2017_11_29 16:44:41 | Type:cmd core | Detial:df | Server:192.168.2.110 | Result:success
Time:2017_11_29 16:44:42 | Type:cmd core | Detial:df | Server:192.168.2.110 | Result:success
Time:2017_11_29 16:44:42 | Type:cmd core | Detial:df | Server:192.168.2.110 | Result:success
Time:2017_11_29 16:44:43 | Type:cmd core | Detial:df | Server:192.168.2.110 | Result:success
Time:2017_11_29 16:44:43 | Type:cmd core | Detial:df | Server:192.168.2.110 | Result:success
Time:2017_11_29 16:44:44 | Type:cmd core | Detial:df | Server:192.168.2.110 | Result:success
Time:2017_11_29 16:44:44 | Type:cmd core | Detial:df | Server:192.168.2.110 | Result:success
Time:2017_11_29 16:44:45 | Type:cmd core | Detial:df | Server:192.168.2.110 | Result:failed
Time:2017_11_29 16:44:47 | Type:cmd core | Detial:df | Server:192.168.2.110 | Result:success
Time:2017_11_29 16:44:47 | Type:cmd core | Detial:df | Server:192.168.2.110 | Result:success
Time:2017_11_29 16:44:48 | Type:cmd core | Detial:df | Server:192.168.2.110 | Result:failed
Time:2017_11_29 16:44:49 | Type:cmd core | Detial:df | Server:192.168.2.110 | Result:failed
Time:2017_11_29 16:44:51 | Type:cmd core | Detial:df | Server:192.168.3.110 | Result:failed
Time:2017_11_29 16:59:37 | Type:cmd core | Detial:df | Server:192.168.2.110 | Result:success
Time:2017_11_29 16:59:38 | Type:cmd core | Detial:df | Server:192.168.2.110 | Result:success
Time:2017_11_29 16:59:38 | Type:cmd core | Detial:df | Server:192.168.2.110 | Result:success
Time:2017_11_29 16:59:39 | Type:cmd core | Detial:df | Server:192.168.2.110 | Result:success
Time:2017_11_29 16:59:39 | Type:cmd core | Detial:df | Server:192.168.2.110 | Result:success
Time:2017_11_29 16:59:40 | Type:cmd core | Detial:df | Server:192.168.2.110 | Result:success
Time:2017_11_29 16:59:40 | Type:cmd core | Detial:df | Server:192.168.2.110 | Result:success
Time:2017_11_29 16:59:41 | Type:cmd core | Detial:df | Server:192.168.2.110 | Result:success
Time:2017_11_29 16:59:41 | Type:cmd core | Detial:df | Server:192.168.2.110 | Result:failed
Time:2017_11_29 16:59:43 | Type:cmd core | Detial:df | Server:192.168.2.110 | Result:success
Time:2017_11_29 16:59:44 | Type:cmd core | Detial:df | Server:192.168.2.110 | Result:success
Time:2017_11_29 16:59:44 | Type:cmd core | Detial:df | Server:192.168.2.110 | Result:failed
Time:2017_11_29 16:59:45 | Type:cmd core | Detial:df | Server:192.168.2.110 | Result:failed
Time:2017_11_29 16:59:47 | Type:cmd core | Detial:df | Server:192.168.3.110 | Result:failed
Time:2017_11_29 17:00:33 | Type:cmd core | Detial:df | Server:192.168.2.110 | Result:failed
Time:2017_11_29 17:06:07 | Type:cmd core | Detial:df | Server:192.168.2.110 | Result:success
Time:2017_11_29 17:16:38 | Type:cmd core | Detial:ls -l | Server:192.168.2.110 | Result:success
Time:2017_11_29 17:16:39 | Type:cmd core | Detial:ls -l | Server:192.168.2.110 | Result:success
Time:2017_11_29 17:16:40 | Type:cmd core | Detial:ls -l | Server:192.168.2.110 | Result:success
Time:2017_11_29 17:16:40 | Type:cmd core | Detial:ls -l | Server:192.168.2.110 | Result:success
Time:2017_11_29 17:16:41 | Type:cmd core | Detial:ls -l | Server:192.168.2.110 | Result:success
Time:2017_11_29 17:16:41 | Type:cmd core | Detial:ls -l | Server:192.168.2.110 | Result:success
Time:2017_11_29 17:16:42 | Type:cmd core | Detial:ls -l | Server:192.168.2.110 | Result:success
Time:2017_11_29 17:16:42 | Type:cmd core | Detial:ls -l | Server:192.168.2.110 | Result:success
Time:2017_11_29 17:16:43 | Type:cmd core | Detial:ls -l | Server:192.168.2.110 | Result:failed
Time:2017_11_29 17:16:45 | Type:cmd core | Detial:ls -l | Server:192.168.2.110 | Result:success
Time:2017_11_29 17:16:45 | Type:cmd core | Detial:ls -l | Server:192.168.2.110 | Result:success
Time:2017_11_29 17:16:46 | Type:cmd core | Detial:ls -l | Server:192.168.2.110 | Result:failed
Time:2017_11_29 17:16:47 | Type:cmd core | Detial:ls -l | Server:192.168.2.110 | Result:failed
Time:2017_11_29 17:16:50 | Type:cmd core | Detial:ls -l | Server:192.168.3.110 | Result:failed
